Review_ID,Customer_ID,Product_ID,Order_ID,Review_Date,Rating,Review_Text,Sentiment
REV0000001,CUST005948,PRD00074,ORD00000014,2023-12-22,3,Value for money,Neutral
REV0000002,CUST009473,PRD00923,ORD00000019,2023-02-27,3,Average quality,Neutral
REV0000003,CUST003214,PRD00567,ORD00000024,2022-04-28,4,Not satisfied,Positive
REV0000004,CUST014084,PRD00436,ORD00000050,2023-11-13,4,Late delivery,Positive
REV0000005,CUST008998,PRD00546,ORD00000068,2025-12-03,3,Excellent experience,Neutral
REV0000006,CUST002339,PRD00719,ORD00000071,2024-03-25,5,Not satisfied,Positive
REV0000007,CUST012207,PRD00733,ORD00000078,2024-04-05,3,Good product,Neutral
REV0000008,CUST010860,PRD00529,ORD00000103,2023-11-01,3,Not satisfied,Neutral
REV0000009,CUST010004,PRD00695,ORD00000115,2022-01-29,5,Average quality,Positive
REV0000010,CUST000929,PRD00942,ORD00000119,2024-02-11,4,Late delivery,Positive
REV0000011,CUST005465,PRD00363,ORD00000120,2024-05-19,5,Not satisfied,Positive
REV0000012,CUST012115,PRD00073,ORD00000121,2023-04-04,3,Late delivery,Neutral
REV0000013,CUST013784,PRD00033,ORD00000122,2023-06-07,5,Not satisfied,Positive
REV0000014,CUST012616,PRD00575,ORD00000130,2025-02-25,4,Excellent experience,Positive
REV0000015,CUST000397,PRD00217,ORD00000139,2022-03-05,5,Good product,Positive
REV0000016,CUST013306,PRD00050,ORD00000160,2025-11-28,4,Late delivery,Positive
REV0000017,CUST008407,PRD00200,ORD00000168,2023-01-16,5,Not satisfied,Positive
REV0000018,CUST001482,PRD00925,ORD00000173,2024-10-27,2,Excellent experience,Negative
REV0000019,CUST000684,PRD00483,ORD00000174,2025-12-07,5,Not satisfied,Positive
REV0000020,CUST008453,PRD00434,ORD00000178,2023-05-24,5,Excellent experience,Positive
REV0000021,CUST009811,PRD00085,ORD00000182,2024-09-07,3,Late delivery,Neutral
REV0000022,CUST013452,PRD00438,ORD00000184,2024-11-28,5,Good product,Positive
REV0000023,CUST010276,PRD00891,ORD00000200,2025-07-10,3,Not satisfied,Neutral
REV0000024,CUST004152,PRD00730,ORD00000202,2025-07-01,4,Value for money,Positive
REV0000025,CUST000402,PRD00902,ORD00000205,2022-03-20,5,Not satisfied,Positive
REV0000026,CUST007297,PRD00792,ORD00000207,2025-02-02,3,Good product,Neutral
REV0000027,CUST009063,PRD00592,ORD00000217,2025-09-18,5,Average quality,Positive
REV0000028,CUST004008,PRD00913,ORD00000218,2022-10-01,3,Not satisfied,Neutral
REV0000029,CUST000023,PRD00648,ORD00000233,2022-12-02,4,Average quality,Positive
REV0000030,CUST003174,PRD00003,ORD00000237,2024-12-01,2,Late delivery,Negative
REV0000031,CUST006881,PRD00138,ORD00000241,2025-07-10,5,Excellent experience,Positive
REV0000032,CUST009838,PRD00470,ORD00000253,2023-08-08,4,Average quality,Positive
REV0000033,CUST006551,PRD00286,ORD00000257,2022-09-12,4,Excellent experience,Positive
REV0000034,CUST003713,PRD00115,ORD00000258,2023-01-12,3,Excellent experience,Neutral
REV0000035,CUST003450,PRD00874,ORD00000278,2023-01-13,5,Not satisfied,Positive
REV0000036,CUST002797,PRD00367,ORD00000287,2023-02-22,4,Average quality,Positive
REV0000037,CUST013589,PRD00993,ORD00000291,2023-05-09,5,Good product,Positive
REV0000038,CUST004041,PRD00555,ORD00000295,2024-10-17,4,Late delivery,Positive
REV0000039,CUST003120,PRD00162,ORD00000296,2025-09-06,1,Not satisfied,Negative
REV0000040,CUST010304,PRD00894,ORD00000309,2024-04-30,5,Good product,Positive
REV0000041,CUST011946,PRD00058,ORD00000313,2023-08-22,3,Not satisfied,Neutral
REV0000042,CUST014612,PRD00413,ORD00000321,2023-01-26,5,Average quality,Positive
REV0000043,CUST014413,PRD00215,ORD00000332,2023-06-07,4,Excellent experience,Positive
REV0000044,CUST003316,PRD00111,ORD00000343,2023-07-21,5,Good product,Positive
