Product_ID,Warehouse_ID,Warehouse_City,Stock_Available,Reorder_Level,Reorder_Qty,Last_Stock_Update,Inventory_Value
PRD00001,WH002,Mumbai,668,74,106,2025-12-21,1653393.52
PRD00001,WH005,Chennai,430,78,198,2025-12-27,1064310.2
PRD00002,WH002,Mumbai,777,72,156,2025-12-14,1182322.05
PRD00002,WH004,Hyderabad,804,80,225,2025-12-30,1223406.6
PRD00002,WH001,Bangalore,443,70,228,2025-12-13,674090.95
PRD00002,WH008,Dubai,45,25,225,2025-12-14,68474.25
PRD00003,WH001,Bangalore,694,89,156,2025-12-02,608596.36
PRD00003,WH002,Mumbai,799,106,223,2025-12-30,700675.06
PRD00003,WH007,Bhubaneswar,144,44,194,2025-12-05,126279.36
PRD00003,WH004,Hyderabad,657,111,103,2025-12-18,576149.58
PRD00003,WH003,Delhi,258,120,288,2025-12-18,226250.52
PRD00004,WH005,Chennai,480,22,129,2025-12-18,606110.4
PRD00004,WH006,Kolkata,858,112,208,2025-12-01,1083422.34
PRD00004,WH008,Dubai,226,24,178,2025-12-01,285376.98
PRD00004,WH002,Mumbai,231,32,239,2025-12-24,291690.63
PRD00004,WH004,Hyderabad,579,74,160,2025-12-31,731120.67
PRD00005,WH007,Bhubaneswar,623,25,199,2025-12-21,2296845.25
PRD00005,WH003,Delhi,712,107,245,2025-12-27,2624966.0
PRD00005,WH002,Mumbai,549,84,236,2025-12-02,2024025.75
PRD00006,WH002,Mumbai,285,44,297,2025-12-25,1407144.75
PRD00006,WH007,Bhubaneswar,443,56,166,2025-12-09,2187246.05
PRD00007,WH003,Delhi,748,46,292,2025-12-14,799791.52
PRD00007,WH007,Bhubaneswar,362,37,280,2025-12-10,387064.88
PRD00007,WH008,Dubai,675,35,154,2025-12-04,721737.0
PRD00007,WH004,Hyderabad,464,80,139,2025-12-24,496127.36
PRD00008,WH008,Dubai,154,51,282,2025-12-13,114991.8
PRD00008,WH003,Delhi,707,62,280,2025-12-13,527916.9
PRD00008,WH004,Hyderabad,321,71,219,2025-12-27,239690.7
PRD00008,WH001,Bangalore,411,95,274,2025-12-11,306893.7
PRD00009,WH003,Delhi,564,111,273,2025-12-13,6527764.2
PRD00009,WH001,Bangalore,63,103,263,2025-12-09,729165.15
PRD00009,WH006,Kolkata,147,89,62,2025-12-22,1701385.35
PRD00009,WH004,Hyderabad,363,77,178,2025-12-25,4201380.15
PRD00009,WH007,Bhubaneswar,646,44,186,2025-12-19,7476836.3
PRD00010,WH008,Dubai,572,41,243,2025-12-01,134162.6
PRD00010,WH005,Chennai,877,96,288,2025-12-15,205700.35
PRD00010,WH001,Bangalore,620,83,127,2025-12-18,145421.0
PRD00010,WH002,Mumbai,53,41,71,2025-12-01,12431.15
PRD00011,WH001,Bangalore,102,114,70,2025-12-08,27729.72
PRD00011,WH008,Dubai,593,21,62,2025-12-15,161212.98
PRD00011,WH004,Hyderabad,564,70,106,2025-12-26,153329.04
PRD00012,WH001,Bangalore,197,39,215,2025-12-17,1761570.06
PRD00012,WH004,Hyderabad,814,58,199,2025-12-15,7278771.72
PRD00013,WH003,Delhi,528,110,244,2025-12-30,1193575.68
PRD00013,WH004,Hyderabad,792,83,287,2025-12-14,1790363.52
PRD00014,WH007,Bhubaneswar,324,36,131,2025-12-12,55037.88
PRD00014,WH006,Kolkata,176,65,92,2025-12-17,29897.12
PRD00015,WH008,Dubai,795,57,228,2025-12-09,3883225.2
PRD00015,WH003,Delhi,38,61,279,2025-12-06,185613.28
PRD00016,WH006,Kolkata,13,59,88,2025-12-20,3719.82
PRD00016,WH004,Hyderabad,259,93,95,2025-12-04,74110.26
PRD00016,WH001,Bangalore,561,60,183,2025-12-13,160524.54
PRD00017,WH003,Delhi,641,35,222,2025-12-19,1045817.14
PRD00017,WH001,Bangalore,41,71,207,2025-12-31,66893.14
PRD00017,WH004,Hyderabad,482,104,128,2025-12-28,786402.28
PRD00018,WH001,Bangalore,313,24,296,2025-12-22,1106652.19
PRD00018,WH004,Hyderabad,816,53,170,2025-12-10,2885074.08
PRD00018,WH006,Kolkata,580,52,293,2025-12-02,2050665.4
PRD00018,WH005,Chennai,541,79,146,2025-12-07,1912775.83
PRD00019,WH006,Kolkata,122,66,113,2025-12-11,107357.56
PRD00019,WH005,Chennai,517,72,229,2025-12-05,454949.66
PRD00020,WH006,Kolkata,894,49,73,2025-12-13,6515874.3
PRD00020,WH005,Chennai,477,68,271,2025-12-11,3476590.65
PRD00020,WH003,Delhi,586,55,70,2025-12-10,4271031.7
PRD00020,WH007,Bhubaneswar,855,28,265,2025-12-08,6231624.75
PRD00021,WH008,Dubai,888,112,75,2025-12-29,514489.44
PRD00021,WH003,Delhi,234,55,85,2025-12-29,135574.92
PRD00021,WH004,Hyderabad,322,22,103,2025-12-11,186560.36
PRD00021,WH001,Bangalore,228,104,53,2025-12-23,132098.64
PRD00022,WH006,Kolkata,256,64,229,2025-12-07,186782.72
PRD00022,WH008,Dubai,517,29,193,2025-12-26,377213.54
PRD00022,WH005,Chennai,626,109,215,2025-12-01,456742.12
PRD00023,WH007,Bhubaneswar,431,63,275,2025-12-25,5115301.95
PRD00023,WH002,Mumbai,189,70,129,2025-12-14,2243137.05
PRD00023,WH003,Delhi,443,104,188,2025-12-13,5257723.35
PRD00023,WH008,Dubai,850,49,164,2025-12-03,10088182.5
PRD00023,WH004,Hyderabad,708,79,283,2025-12-24,8402862.6
PRD00024,WH004,Hyderabad,634,112,178,2025-12-23,2650798.38
PRD00024,WH001,Bangalore,717,67,225,2025-12-02,2997827.19
PRD00024,WH005,Chennai,706,26,171,2025-12-16,2951835.42
PRD00024,WH002,Mumbai,373,55,180,2025-12-21,1559539.11
PRD00024,WH007,Bhubaneswar,867,53,131,2025-12-05,3624987.69
PRD00025,WH004,Hyderabad,244,110,123,2025-12-27,1132440.6
PRD00025,WH001,Bangalore,638,24,191,2025-12-18,2961053.7
PRD00025,WH006,Kolkata,364,65,178,2025-12-16,1689378.6
PRD00025,WH005,Chennai,825,117,273,2025-12-17,3828948.75
PRD00026,WH003,Delhi,178,79,192,2025-12-02,5674761.04
PRD00026,WH008,Dubai,783,37,277,2025-12-28,24962572.44
PRD00027,WH001,Bangalore,857,25,104,2025-12-28,39830746.15
PRD00027,WH004,Hyderabad,333,43,152,2025-12-10,15476824.35
PRD00027,WH007,Bhubaneswar,264,44,166,2025-12-17,12269914.8
PRD00027,WH008,Dubai,449,75,159,2025-12-23,20868150.55
