Campaign_ID,Campaign_Name,Channel,Start_Date,End_Date,Spend_Amount,Clicks,Impressions,Leads,Orders,Revenue
CMP0001,Instagram Campaign 1,Instagram,2025-03-30,2025-05-04,219096.43,53885,1061662,4271,1029,4225685.59
CMP0002,Email Campaign 2,Google Ads,2024-12-20,2025-01-12,57104.21,74659,409485,10610,1066,3290069.33
CMP0003,Affiliate Campaign 3,Facebook,2024-09-10,2024-10-21,340345.77,26183,296942,11935,1295,5264862.26
CMP0004,SEO Campaign 4,Google Ads,2023-08-06,2023-09-20,180032.9,48370,1154095,4809,81,124728.18
CMP0005,Facebook Campaign 5,Google Ads,2024-07-06,2024-08-18,67036.63,83238,444899,2860,1172,3677833.47
CMP0006,YouTube Campaign 6,YouTube,2023-05-13,2023-06-22,62924.76,49152,2013214,6337,1697,7332430.01
CMP0007,Instagram Campaign 7,Facebook,2023-05-06,2023-06-20,561609.26,73684,437780,976,444,995610.0
CMP0008,Google Ads Campaign 8,WhatsApp,2022-09-02,2022-10-13,435110.51,25471,2241516,626,633,2622909.46
CMP0009,Facebook Campaign 9,WhatsApp,2023-05-23,2023-06-03,298857.49,39228,2095514,11748,921,3396268.73
CMP0010,YouTube Campaign 10,Facebook,2022-05-25,2022-07-04,234553.75,30095,1485902,833,2267,6883414.73
CMP0011,Instagram Campaign 11,WhatsApp,2024-08-14,2024-09-15,159313.85,52950,2145033,3415,312,1053078.21
CMP0012,Instagram Campaign 12,Instagram,2024-07-28,2024-08-29,328677.4,72911,1591919,3823,101,296697.35
CMP0013,Google Ads Campaign 13,Instagram,2024-05-04,2024-05-18,410965.26,32480,532446,3318,1241,1535046.58
CMP0014,YouTube Campaign 14,Instagram,2023-05-29,2023-06-28,240592.22,11398,1462892,6437,194,518705.29
CMP0015,Direct Campaign 15,SEO,2024-04-07,2024-04-22,124452.89,84738,834942,8238,1648,4037426.24
CMP0016,YouTube Campaign 16,Google Ads,2022-09-19,2022-10-11,357309.93,39898,1276907,2046,564,2368961.95
CMP0017,WhatsApp Campaign 17,Email,2025-09-30,2025-11-07,333510.58,26849,1489161,1458,2217,4590785.23
CMP0018,SEO Campaign 18,Affiliate,2023-11-22,2023-12-28,418419.77,80525,2499116,11781,1596,5478057.61
CMP0019,Instagram Campaign 19,Facebook,2023-12-02,2023-12-31,375194.69,65047,776445,3717,391,1067647.47
CMP0020,Affiliate Campaign 20,Affiliate,2022-12-02,2022-12-24,576460.6,67108,855219,595,1897,3803570.29
CMP0021,WhatsApp Campaign 21,Facebook,2023-01-02,2023-02-05,440170.08,17645,1535879,5966,1153,3811656.65
CMP0022,WhatsApp Campaign 22,Email,2023-05-08,2023-06-15,403778.4,35308,1130373,9356,1439,3482972.88
CMP0023,YouTube Campaign 23,WhatsApp,2024-03-24,2024-04-13,473175.04,5601,1594817,11303,1417,3691916.29
CMP0024,WhatsApp Campaign 24,SEO,2022-02-25,2022-04-06,90890.46,74140,1616934,4178,1815,4606012.5
CMP0025,Email Campaign 25,Direct,2023-06-01,2023-06-25,397737.35,77897,1614104,9480,1408,4499999.17
CMP0026,Facebook Campaign 26,Google Ads,2023-07-08,2023-08-20,56439.13,4113,566860,3337,1738,6410240.35
CMP0027,Email Campaign 27,Direct,2023-01-23,2023-02-28,215179.98,7093,1976582,6053,2103,3617974.74
CMP0028,Facebook Campaign 28,SEO,2024-04-23,2024-05-22,355865.85,14796,348837,1016,1092,1527528.65
CMP0029,YouTube Campaign 29,Direct,2023-11-01,2023-12-09,384290.33,42424,2231395,11567,1282,3821846.64
CMP0030,Affiliate Campaign 30,Email,2022-08-18,2022-09-06,597927.43,62936,1867827,9071,2146,2598361.15
CMP0031,SEO Campaign 31,SEO,2022-12-24,2023-01-22,280169.69,70294,1619721,3392,1012,1386079.16
CMP0032,WhatsApp Campaign 32,YouTube,2024-12-09,2025-01-17,472089.13,8731,526921,2679,664,1807775.91
CMP0033,Facebook Campaign 33,WhatsApp,2023-09-06,2023-09-27,414926.7,27971,1032334,11671,1014,2706812.61
CMP0034,Facebook Campaign 34,WhatsApp,2024-06-16,2024-07-11,461353.55,3814,968979,8098,560,570960.69
CMP0035,Direct Campaign 35,YouTube,2022-05-27,2022-06-06,280327.55,78632,2202035,8508,1067,1577790.4
CMP0036,Instagram Campaign 36,Direct,2022-07-07,2022-08-21,467122.81,85555,549480,2502,503,1929203.81
CMP0037,WhatsApp Campaign 37,Affiliate,2024-11-17,2025-01-01,491989.76,30575,2069121,2493,1833,3268449.88
CMP0038,WhatsApp Campaign 38,Google Ads,2022-08-11,2022-09-25,72956.78,89778,1662847,6516,1845,5691580.05
CMP0039,Email Campaign 39,Google Ads,2025-10-26,2025-11-16,591479.33,32129,1307064,11740,676,1861905.47
CMP0040,SEO Campaign 40,WhatsApp,2024-04-19,2024-05-13,555520.45,25901,280133,6545,1211,2561639.33
CMP0041,Google Ads Campaign 41,WhatsApp,2024-12-21,2025-01-12,480836.48,50027,782177,869,1334,2022765.57
CMP0042,SEO Campaign 42,Google Ads,2023-04-26,2023-06-08,237657.25,49968,1485816,5324,1045,2066091.62
CMP0043,Instagram Campaign 43,Direct,2022-09-27,2022-11-09,183997.4,36627,1814091,11135,757,1353359.51
CMP0044,Direct Campaign 44,Facebook,2024-06-25,2024-08-08,507866.88,86632,623698,450,918,1770449.2
CMP0045,Affiliate Campaign 45,Affiliate,2023-10-23,2023-11-29,323143.92,27517,679685,11078,140,531332.71
CMP0046,Instagram Campaign 46,Email,2024-12-29,2025-01-08,29304.28,52202,1017865,5610,447,1081575.82
CMP0047,Direct Campaign 47,YouTube,2024-06-11,2024-07-05,95304.58,89623,1258463,11492,2337,8417501.19
CMP0048,Direct Campaign 48,WhatsApp,2023-07-19,2023-08-02,509145.4,11742,1831187,3704,2124,3163937.09
CMP0049,WhatsApp Campaign 49,WhatsApp,2024-07-01,2024-07-15,477315.55,60728,2200905,4243,532,1683604.18
CMP0050,WhatsApp Campaign 50,Affiliate,2025-09-17,2025-10-11,518341.02,67823,1777046,2343,2311,8621837.58
CMP0051,SEO Campaign 51,Email,2024-08-25,2024-09-13,450000.76,88506,1720076,8112,46,137805.4
CMP0052,Instagram Campaign 52,Facebook,2023-01-14,2023-01-30,420202.04,4063,353043,9615,1630,4208824.07
CMP0053,YouTube Campaign 53,WhatsApp,2023-06-25,2023-07-16,333257.68,55822,1054049,5034,766,2456277.07
CMP0054,Instagram Campaign 54,Instagram,2024-07-31,2024-08-14,282056.04,36453,1709234,7718,617,1316003.31
CMP0055,WhatsApp Campaign 55,Google Ads,2024-07-09,2024-07-27,144985.45,38628,2272889,1119,1335,1788275.27
CMP0056,Email Campaign 56,Email,2024-12-27,2025-02-05,116446.93,44789,831535,10153,879,3059953.8
CMP0057,Email Campaign 57,Direct,2023-09-01,2023-09-27,407791.71,54282,1320513,6619,1131,4159017.41
CMP0058,Direct Campaign 58,Direct,2022-04-10,2022-04-21,407064.48,50177,92716,11874,631,656104.81
CMP0059,Direct Campaign 59,WhatsApp,2022-11-30,2023-01-11,197912.05,66523,2026521,8115,871,3048857.62
CMP0060,Facebook Campaign 60,Email,2022-12-12,2023-01-25,553835.83,7100,1227726,6899,125,250282.71
