Visit_ID,Customer_ID,Visit_Date,Device_Type,Browser,Traffic_Source,Page_Views,Session_Duration_Seconds,Cart_Additions,Checkout_Started
VIS00000001,CUST009308,2022-06-22,Tablet,Safari,SEO,9,341,3,0
VIS00000002,CUST000428,2022-09-20,Desktop,Chrome,Google Ads,17,22,1,1
VIS00000003,CUST010411,2024-11-26,Mobile,Chrome,YouTube,8,117,5,0
VIS00000004,CUST003914,2022-10-09,Desktop,Firefox,YouTube,7,489,1,1
VIS00000005,CUST009135,2023-11-17,Tablet,Safari,Email,13,147,4,0
VIS00000006,CUST014458,2023-09-06,Tablet,Firefox,WhatsApp,10,1435,0,0
VIS00000007,CUST011773,2025-12-10,Mobile,Chrome,Instagram,4,1615,0,1
VIS00000008,CUST008065,2025-09-08,Tablet,Edge,Direct,17,76,0,0
VIS00000009,CUST013971,2024-08-14,Desktop,Edge,Email,2,424,2,0
VIS00000010,CUST002278,2023-01-10,Desktop,Safari,Google Ads,17,1508,2,1
VIS00000011,CUST014210,2024-02-29,Desktop,Safari,Instagram,16,1300,0,1
VIS00000012,CUST002097,2024-05-19,Mobile,Firefox,Email,12,39,4,0
VIS00000013,CUST014021,2023-11-14,Desktop,Edge,Google Ads,8,1799,5,0
VIS00000014,CUST005948,2023-12-04,Mobile,Firefox,Affiliate,15,517,2,0
VIS00000015,CUST000179,2023-08-10,Tablet,Edge,SEO,15,394,1,1
VIS00000016,CUST012900,2022-02-08,Mobile,Chrome,Affiliate,13,1020,0,0
VIS00000017,CUST004070,2024-03-06,Desktop,Edge,Direct,17,384,5,0
VIS00000018,CUST005023,2024-08-25,Mobile,Safari,Facebook,4,512,2,1
VIS00000019,CUST009473,2023-02-21,Desktop,Firefox,YouTube,2,477,4,1
VIS00000020,CUST005765,2022-11-04,Mobile,Safari,WhatsApp,4,380,1,1
VIS00000021,CUST001492,2023-12-30,Mobile,Chrome,Facebook,16,182,4,0
VIS00000022,CUST007492,2022-01-31,Tablet,Edge,Google Ads,11,142,0,0
VIS00000023,CUST014303,2023-01-11,Tablet,Chrome,SEO,12,1479,1,1
VIS00000024,CUST003214,2022-04-20,Tablet,Edge,Google Ads,16,148,0,0
VIS00000025,CUST013594,2024-05-26,Mobile,Edge,Email,7,1063,0,0
VIS00000026,CUST007592,2024-04-16,Desktop,Edge,Facebook,1,312,5,1
VIS00000027,CUST006607,2025-05-15,Mobile,Chrome,Instagram,14,883,5,1
VIS00000028,CUST007562,2025-03-23,Desktop,Firefox,SEO,18,969,4,1
VIS00000029,CUST006301,2025-05-30,Tablet,Edge,Direct,7,397,5,1
VIS00000030,CUST006128,2025-08-07,Tablet,Edge,Email,16,270,2,1
VIS00000031,CUST014720,2025-03-05,Tablet,Edge,SEO,5,189,1,1
VIS00000032,CUST000074,2025-02-17,Tablet,Chrome,WhatsApp,18,957,5,1
VIS00000033,CUST012432,2024-02-11,Desktop,Firefox,SEO,6,452,2,0
VIS00000034,CUST002155,2022-01-06,Mobile,Safari,Google Ads,4,839,2,1
VIS00000035,CUST003082,2024-03-12,Mobile,Safari,WhatsApp,2,702,2,1
VIS00000036,CUST003739,2025-08-24,Desktop,Safari,WhatsApp,6,893,2,1
